Id,CoworkerContractCoworkerBillingName,CoworkerContractCoworkerFullName,CoworkerContractCoworkerId,CoworkerContractFloorPlanDeskIds,CoworkerContractFloorPlanDeskNames,CoworkerContractId,CoworkerContractQuantity,CoworkerContractTariffName,CreatedOn,Credited,CustomFields,DepositIndex,InvoiceDuringOnlineCheckout,Invoiced,InvoicedOn,IsNew,LocalizationDetails,Notes,Price,ProductCurrencyCode,ProductId,ProductName,ProductPrice,Refundable,SystemId,ToStringText,UniqueId,UpdatedBy,UpdatedOn
1416362132,,Jacqueline Wilson,1423749950,,,1418966985,1,Private Office Large,2026-08-24T16:13:16.9125844Z,False,,1,False,False,,False,,,1000.0,EUR,1415475310,Security Deposit - Office,1000.0,True,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,1d4c1162-2063-417e-a459-29a3eef2b676,Olena+e2@nexudus.com,2026-08-24T16:13:16.9125844Z
1416362133,,Ashley Smith,1423747607,,,1418966553,1,Private Office Small,2026-08-24T16:13:17.6496013Z,False,,2,False,False,,False,,,1000.0,EUR,1415475310,Security Deposit - Office,1000.0,True,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,9f4f6f71-ef05-4550-826e-2407a0a6b5d0,Olena+e2@nexudus.com,2026-08-24T16:13:17.6496013Z
1416362134,,Charles Kelly,1423750052,,,1418966994,1,Private Office Large,2026-08-24T16:13:18.3172292Z,False,,3,False,False,,False,,,1000.0,EUR,1415475310,Security Deposit - Office,1000.0,True,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,e8389dd5-afcd-4ce2-b509-23ce3bd91694,Olena+e2@nexudus.com,2026-08-24T16:13:18.3172292Z
1416362339,,Kerry White,1423749938,,,1418966565,1,Private Office Large,2026-08-24T16:13:19.0351996Z,False,,4,False,False,,False,,,1000.0,EUR,1415475310,Security Deposit - Office,1000.0,False,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,db81a22e-a7b1-4eff-8e8f-b23603d327e4,Olena+e2@nexudus.com,2026-08-24T16:13:19.0351996Z
1416362135,,Wayne Davidson,1423750055,,,1418966921,1,Private Office Large,2026-08-24T16:13:19.8090253Z,False,,5,False,False,,False,,,1000.0,EUR,1415475310,Security Deposit - Office,1000.0,False,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,54cba734-258f-43fd-b950-7c3d89574951,Olena+e2@nexudus.com,2026-08-24T16:13:19.8090253Z
1416362136,,Irene Wilson,1423750041,,,1418966570,1,Private Office Annual,2026-08-24T16:13:20.5213508Z,False,,6,False,False,,False,,,1000.0,EUR,1415475310,Security Deposit - Office,1000.0,True,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,ff2f9981-ac9a-434e-9f57-977568e8c3d7,Olena+e2@nexudus.com,2026-08-24T16:13:20.5213508Z
1416362137,,Charles Kelly,1423750052,,,1418966995,1,Hot Desk Quarterly,2026-08-24T16:13:21.2818451Z,False,,7,False,False,,False,,,250.0,EUR,1415475415,Security Deposit - Desk,250.0,True,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,08d0a303-a5e1-4462-8cec-fdbe9d575362,Olena+e2@nexudus.com,2026-08-24T16:13:21.2818451Z
1416362138,,Dylan Young,1423749941,,,1418966900,1,Hot Desk Monthly,2026-08-24T16:13:22.0684522Z,False,,8,False,False,,False,,,250.0,EUR,1415475415,Security Deposit - Desk,250.0,True,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,30573c4c-49d8-4855-846c-969701be43e8,Olena+e2@nexudus.com,2026-08-24T16:13:22.0684522Z
1416362139,,Janice Glover,1423749939,,,1418966566,1,Dedicated Desk Monthly,2026-08-24T16:13:22.7762901Z,False,,9,False,False,,False,,,250.0,EUR,1415475415,Security Deposit - Desk,250.0,False,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,e7d77ff8-6242-4efd-b652-9dbb3d7f0b01,Olena+e2@nexudus.com,2026-08-24T16:13:22.7762901Z
1416362140,,Josephine Hammond,1423749946,,,1418966979,1,Dedicated Desk Monthly,2026-08-24T16:13:23.4688375Z,False,,10,False,False,,False,,,250.0,EUR,1415475415,Security Deposit - Desk,250.0,True,,Nexudus.Coworking.Core.QueryDtos.Billing.ContractDepositDto,daca784b-fca4-4b87-9d1d-e82278564893,Olena+e2@nexudus.com,2026-08-24T16:13:23.4688375Z
