Id,ApplyProRating,ContractProductIndex,CoworkerContractCoworkerBillingName,CoworkerContractCoworkerFullName,CoworkerContractCoworkerId,CoworkerContractFloorPlanDeskIds,CoworkerContractFloorPlanDeskNames,CoworkerContractId,CoworkerContractQuantity,CoworkerContractTariffName,CreatedOn,CustomFields,IsNew,LocalizationDetails,Notes,Price,ProductApplyProRating,ProductCurrencyCode,ProductId,ProductName,ProductPrice,Quantity,RepeatFrom,RepeatUntil,SystemId,ToStringText,UniqueId,UpdatedBy,UpdatedOn
305525,False,1,,Colin Lloyd,1423831549,,,1418975233,1,Flex Fortnightly,2026-08-27T08:32:02.742344Z,,False,,,,False,GBP,1415478642,Parking Space,75.0,1,,,,Parking Space,cbb5ad34-4b74-4a20-a7d4-574370e7ec4a,matheus+explore@nexudus.com,2026-08-27T08:32:02.742344Z
305526,False,6,,Stanley Griffiths,1423560874,,,1418974744,1,Flex Weekly,2026-08-27T08:32:03.2696225Z,,False,,,,False,GBP,1415478641,Storage Locker,30.0,1,,,,Storage Locker,5540f59a-f243-41dc-8696-49751c1fe3d7,matheus+explore@nexudus.com,2026-08-27T08:32:03.2696225Z
305527,False,8,,Tracy Harrison,1423831752,,,1418974749,1,Hot Desk Quarterly,2026-08-27T08:32:03.707092Z,,False,,,,False,GBP,1415478542,Mail Handling,20.0,1,,,,Mail Handling,3d4a4fce-baf8-42ef-8778-7f1b3c4ac3e2,matheus+explore@nexudus.com,2026-08-27T08:32:03.707092Z
305426,False,9,,Diane Newman,1423831745,,,1418975229,1,Hot Desk Quarterly,2026-08-27T08:32:04.1323752Z,,False,,,,False,GBP,1415478642,Parking Space,75.0,1,,,,Parking Space,aeee29aa-28c9-42f4-b57c-2c5aeb015501,matheus+explore@nexudus.com,2026-08-27T08:32:04.1323752Z
305528,False,15,,Stanley Griffiths,1423560874,,,1418974745,1,Flex Weekly,2026-08-27T08:32:04.5610737Z,,False,,,,False,GBP,1415478641,Storage Locker,30.0,1,,,,Storage Locker,a9840ef7-a782-4856-817e-1a8d831a0ce7,matheus+explore@nexudus.com,2026-08-27T08:32:04.5610737Z
305529,False,16,,Ashley Smith,1423831744,,,1418975228,1,Private Office Small,2026-08-27T08:32:04.9672948Z,,False,,,,False,GBP,1415478542,Mail Handling,20.0,1,,,,Mail Handling,ef86d4dd-306e-4dfa-b0de-2071c5eaea48,matheus+explore@nexudus.com,2026-08-27T08:32:04.9672948Z
305530,False,17,,Sarah Reed,1423831550,,,1418975236,1,Dedicated Desk Monthly,2026-08-27T08:32:05.3681683Z,,False,,,,False,GBP,1415478642,Parking Space,75.0,1,,,,Parking Space,a3f42535-e016-4ac9-8425-ef265c0a45aa,matheus+explore@nexudus.com,2026-08-27T08:32:05.3681683Z
305427,False,18,,Diane Newman,1423831745,,,1418974747,1,Dedicated Desk Monthly,2026-08-27T08:32:06.8369258Z,,False,,,,False,GBP,1415478641,Storage Locker,30.0,1,,,,Storage Locker,1ff41e59-f5af-4087-aabd-4f1b6fe062df,matheus+explore@nexudus.com,2026-08-27T08:32:06.8369258Z
305531,False,20,,Mary Higgins,1423831747,,,1418975232,1,Private Office Annual,2026-08-27T08:32:07.2686314Z,,False,,,,False,GBP,1415478642,Parking Space,75.0,1,,,,Parking Space,1fe6ee32-e94d-45ad-9e68-ba7c805935b3,matheus+explore@nexudus.com,2026-08-27T08:32:07.2686314Z
305532,False,24,,Ashley Smith,1423831744,,,1418974746,1,Flex Fortnightly,2026-08-27T08:32:07.6905391Z,,False,,,,False,GBP,1415478642,Parking Space,75.0,1,,,,Parking Space,6cce62b1-8d6b-4cc2-92dd-b31a5466a3b7,matheus+explore@nexudus.com,2026-08-27T08:32:07.6905391Z
305533,False,27,,Victor Harrison,1423831750,,,1418975234,1,Dedicated Desk Monthly,2026-08-27T08:32:08.159296Z,,False,,,,False,GBP,1415478642,Parking Space,75.0,1,,,,Parking Space,c1820608-4c4b-4d57-898d-637b708cf88a,matheus+explore@nexudus.com,2026-08-27T08:32:08.159296Z
305534,False,30,,Leanne Foster,1423831748,,,1418974748,1,Hot Desk Monthly,2026-08-27T08:32:08.6280514Z,,False,,,,False,GBP,1415478542,Mail Handling,20.0,1,,,,Mail Handling,da90f02f-5c60-4e30-b071-c468b430ee10,matheus+explore@nexudus.com,2026-08-27T08:32:08.6280514Z
