Id,AssignedFrom,AssignedTo,BusinessId,CoworkerBillingName,CoworkerCompanyName,CoworkerCoworkerType,CoworkerFullName,CoworkerId,CoworkerTeamNames,CreatedOn,CustomFields,InventoryAssetId,InventoryAssetName,InventoryAssetSku,InventoryAssetUniqueId,InventoryAssetValue,InventoryAssignmentIndex,IsNew,LocalizationDetails,Notes,SystemId,ToStringText,UniqueId,UpdatedBy,UpdatedOn
221392,2026-02-17T00:00:00Z,,1421021016,,,Individual,Sian Cox,1423831746,CloudNine Labs,2026-08-27T08:32:10.7452445Z,,212605,Locker A-01,,8d2972a5-b4a8-465c-86f8-8fe947d0ed99,0.0,1,False,,,,#221392,186b6c2d-3509-4d28-86bb-f9b9e049a1c1,matheus+explore@nexudus.com,2026-08-27T08:32:10.7452445Z
221393,2026-04-23T00:00:00Z,,1421021016,,,Individual,Leanne Foster,1423831748,Acme Corp,2026-08-27T08:32:11.2147044Z,,212606,Locker A-02,,f7e11b1a-addb-4266-9068-63de045be4cf,0.0,2,False,,,,#221393,8cf3f4b6-a4e4-4b14-924f-d8d4bd42346b,matheus+explore@nexudus.com,2026-08-27T08:32:11.2147044Z
221394,2026-07-06T00:00:00Z,,1421021016,,,Individual,Janice Glover,1423831551,Echo Digital,2026-08-27T08:32:11.5740692Z,,212706,Locker A-03,,9a7e596e-1144-45ad-9c2d-008b52917959,0.0,3,False,,,,#221394,7650d7b1-534b-4fec-a4b0-74d4543db665,matheus+explore@nexudus.com,2026-08-27T08:32:11.5740692Z
221292,2026-02-06T00:00:00Z,,1421021016,,,Individual,Mary Higgins,1423831747,CloudNine Labs,2026-08-27T08:32:11.9969832Z,,212707,Locker A-04,,7fd11486-ac77-44c6-b1bb-c8bf1d5194a9,0.0,4,False,,,,#221292,ae13b867-a9cf-4bcc-ad81-3fbf267b4c1c,matheus+explore@nexudus.com,2026-08-27T08:32:11.9969832Z
221395,2026-02-23T00:00:00Z,,1421021016,,,Individual,Stanley Griffiths,1423560874,,2026-08-27T08:32:12.3872632Z,,212607,Locker A-05,,de1b2110-0f20-4cd1-a131-91b2b2f9eeb3,0.0,5,False,,,,#221395,f7d3113f-a9e0-4b05-ac55-31b624f6ad4e,matheus+explore@nexudus.com,2026-08-27T08:32:12.3872632Z
221396,2025-08-31T00:00:00Z,2025-10-09T00:00:00Z,1421021016,,,Individual,Glen Hawkins,1423831568,,2026-08-27T08:32:13.1854076Z,,212609,Locker A-07,,e56abbec-bb26-4b1a-b7c4-08927ead8d43,0.0,7,False,,,,#221396,511ae278-c3d7-4090-b746-fb398c0706cd,matheus+explore@nexudus.com,2026-08-27T08:32:13.1854076Z
221293,2025-10-06T00:00:00Z,2025-11-17T00:00:00Z,1421021016,,,Individual,Charles Kelly,1423831765,,2026-08-27T08:32:13.5852888Z,,212610,Locker A-08,,d16c7966-ebcf-433c-bc53-e96cc531db90,0.0,8,False,,,,#221293,08738b2d-6e3c-4915-a9ed-c391cc877ad7,matheus+explore@nexudus.com,2026-08-27T08:32:13.5852888Z
221294,2026-06-17T00:00:00Z,,1421021016,,,Individual,Ashley Smith,1423831744,Acme Corp,2026-08-27T08:32:13.9759494Z,,212611,"Monitor Dell 27"" #1",,42809993-a1dc-44bf-8f1e-4b4da25c4172,350.0,9,False,,,,#221294,933bcb6c-8372-4711-9175-6b4160f3c852,matheus+explore@nexudus.com,2026-08-27T08:32:13.9759494Z
221397,2026-08-16T00:00:00Z,,1421021016,,,Individual,Ryan Nelson,1423831565,,2026-08-27T08:32:14.7487173Z,,212708,"Monitor Dell 27"" #3",,9b72543b-b75a-4e7a-90ca-5a006a3e0896,350.0,11,False,,,,#221397,97ccba28-ee75-4696-9f6e-57f94fad2757,matheus+explore@nexudus.com,2026-08-27T08:32:14.7487173Z
221398,2026-08-11T00:00:00Z,,1421021016,,,Individual,Irene Wilson,1423831558,Bright Studio,2026-08-27T08:32:15.1080638Z,,212709,Standing Desk Converter #1,,d978b671-a8df-457d-9e36-0774097ef102,200.0,12,False,,,,#221398,1f6446c0-a423-4808-8c61-1c76e400e0ff,matheus+explore@nexudus.com,2026-08-27T08:32:15.1080638Z
