Id,BookingUniqueId,CancelledCoworkerInvoiceLineUniqueId,ContractDepositUniqueId,CoworkerChargeUniqueId,CoworkerContractUniqueId,CoworkerDiscountCodeUniqueId,CoworkerExtraServiceName,CoworkerExtraServiceUniqueId,CoworkerInvoiceCreditNote,CoworkerInvoiceCurrencyCode,CoworkerInvoiceDueDate,CoworkerInvoiceId,CoworkerInvoiceInvoiceNumber,CoworkerInvoicePaid,CoworkerInvoicePaidOn,CoworkerProductName,CoworkerProductUniqueId,CoworkerTimePassName,CoworkerTimePassUniqueId,CreatedOn,CreditAmount,CustomFields,Description,DiscountAmount,DiscountCode,DisplayAs,EventAttendeeProductName,EventAttendeeUniqueId,ExtraServiceUniqueId,FinancialAccountCode,FinancialAccountName,GroupedLineUniqueId,IsHidden,IsNew,IsProratedContract,IsUniversalCredit,IssuedByUniqueId,LocalizationDetails,Position,PurchaseOrder,Quantity,Refunded,RefundedAmount,RefundedOn,SaleDate,SubTotal,SystemId,TariffName,TaxAmount,TaxCategoryName,TaxRate,ToStringText,UniqueId,UnitPrice,UpdatedBy,UpdatedOn
1457716391,,,,,2ea47e1e-3154-4e0a-89fd-6878233ad8fa,,,,False,EUR,2026-02-17T19:55:16Z,1429950619,INV-0016,True,2026-05-21T20:40:53Z,,,,,2026-02-14T19:55:16Z,0.0,,Private Office Small,,,,,,,MEM-001,Membership Revenue,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,0,,1,True,1200.0,2026-08-25T20:40:52Z,2024-07-31T23:00:00Z,1200.0,,Private Office Small,0.0,[No Tax],0.0,Private Office Small,4ff62d52-bd18-4007-826a-42a1a86295a5,1200.0,Olena+e2@nexudus.com,2026-08-25T20:41:09Z
1457716392,,,,,,,,,False,EUR,2026-02-17T19:55:16Z,1429950619,INV-0016,True,2026-05-21T20:40:53Z,,,,,2026-02-14T19:55:16Z,0.0,,New Member Orientation: General Admission (Francesca White),,,,General Admission,1d442973-0ebd-4773-80ec-5f138b3cd7ff,,EVT-001,Event Revenue,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,1,,1,True,10.0,2026-08-25T20:40:52Z,2026-07-23T12:00:00Z,10.0,,,0.0,[No Tax],0.0,New Member Orientation: General Admission (Francesca White),b09c2c65-44c0-4eb7-ada4-a10fec0446f0,10.0,Olena+e2@nexudus.com,2026-08-25T20:41:09Z
1457716393,,,,,,,,,False,EUR,2026-02-17T19:55:16Z,1429950619,INV-0016,True,2026-05-21T20:40:53Z,,,Evening Pass,9eee1d9c-b282-40c7-ac72-8dc33c5dfed6,2026-02-14T19:55:16Z,0.0,,Evening Pass [25/08/2026],,,,,,,,,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,2,,1,True,10.0,2026-08-25T20:40:52Z,2026-08-25T19:49:05Z,10.0,,,0.0,[No Tax],0.0,Evening Pass [25/08/2026],fed16b28-89b8-4514-849d-b2d33e66cc8c,10.0,Olena+e2@nexudus.com,2026-08-25T20:41:09Z
1457716394,,,,,,,,,False,EUR,2026-02-17T19:55:16Z,1429950619,INV-0016,True,2026-05-21T20:40:53Z,Storage Locker,df02a229-a01d-422b-9d30-0bb1059b1afa,,,2026-02-14T19:55:16Z,0.0,,Storage Locker,,,,,,,PRD-001,Product Sales,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,3,,1,True,30.0,2026-08-25T20:40:52Z,2026-08-25T19:49:08Z,30.0,,,0.0,[No Tax],0.0,Storage Locker,f37d57c7-75d2-4a79-8162-68c9b216875a,30.0,Olena+e2@nexudus.com,2026-08-25T20:41:09Z
1457716395,,,,,c2034b47-1027-4fec-b92a-064d48bdd135,,,,False,EUR,2025-06-06T19:55:19Z,1429950620,INV-0017,True,2026-01-13T20:40:54Z,,,,,2025-06-03T19:55:19Z,0.0,,Private Office Large,,,,,,,MEM-001,Membership Revenue,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,0,,1,True,2000.0,2026-08-25T20:40:53Z,2023-11-15T23:00:00Z,2000.0,,Private Office Large,0.0,[No Tax],0.0,Private Office Large,2ea37cce-66c5-4467-af67-3a63d1b4a775,2000.0,Olena+e2@nexudus.com,2026-08-25T20:41:09Z
1457716396,,,,,,,,,False,EUR,2025-06-06T19:55:19Z,1429950620,INV-0017,True,2026-01-13T20:40:54Z,,,,,2025-06-03T19:55:19Z,0.0,,Wellness Wednesday: Meditation: General Admission (Kerry White),,,,General Admission,cfe151b1-cc00-491f-94b9-be30475bd175,,EVT-001,Event Revenue,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,1,,1,True,0.0,2026-08-25T20:40:53Z,2026-04-03T09:00:00Z,0.0,,,0.0,[No Tax],0.0,Wellness Wednesday: Meditation: General Admission (Kerry White),8de49404-5639-4007-aa24-2c4edd674bdb,0.0,Olena+e2@nexudus.com,2026-08-25T20:41:09Z
1457716397,,,,,,,,,False,EUR,2025-06-06T19:55:19Z,1429950620,INV-0017,True,2026-01-13T20:40:54Z,,,Evening Pass,a41c5ef9-fc48-49be-be38-c260303dace5,2025-06-03T19:55:19Z,0.0,,Evening Pass [25/08/2026],,,,,,,,,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,2,,1,True,10.0,2026-08-25T20:40:53Z,2026-08-25T19:49:01Z,10.0,,,0.0,[No Tax],0.0,Evening Pass [25/08/2026],9268c995-c383-443a-a8a7-45c3252f99bf,10.0,Olena+e2@nexudus.com,2026-08-25T20:41:09Z
1457716398,,,,,d8fcb41e-c8fa-433d-908b-60666b7f302a,,,,False,EUR,2025-05-07T19:55:23Z,1429950621,INV-0018,True,2025-12-29T20:40:54Z,,,,,2025-05-04T19:55:23Z,0.0,,Dedicated Desk Monthly,,,,,,,MEM-001,Membership Revenue,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,0,,1,True,350.0,2026-08-25T20:40:54Z,2025-02-08T22:00:00Z,350.0,,Dedicated Desk Monthly,0.0,[No Tax],0.0,Dedicated Desk Monthly,7a1d9062-7baf-4ec4-a8e1-a4f13fcd6055,350.0,Olena+e2@nexudus.com,2026-08-25T20:41:10Z
1457716399,,,,,d8fcb41e-c8fa-433d-908b-60666b7f302a,,,,False,EUR,2025-05-07T19:55:23Z,1429950621,INV-0018,True,2025-12-29T20:40:54Z,Storage Locker,ee861103-3e23-4a87-93f1-8d35e73b620a,,,2025-05-04T19:55:23Z,0.0,,Storage Locker,,,,,,,PRD-001,Product Sales,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,1,,1,True,30.0,2026-08-25T20:40:54Z,2026-06-02T00:00:00Z,30.0,,,0.0,[No Tax],0.0,Storage Locker,a7086957-b352-4ed3-9ed3-b53865c8a488,30.0,Olena+e2@nexudus.com,2026-08-25T20:41:10Z
1457716400,ac8a72cf-d12c-4932-bf5f-e86491b83fbc,,,,,,,,False,EUR,2025-05-07T19:55:23Z,1429950621,INV-0018,True,2025-12-29T20:40:54Z,AV Equipment,1c381f05-c8e3-47fe-82df-b54be8124227,,,2025-05-04T19:55:23Z,0.0,,- AV Equipment,,,,,,,PRD-001,Product Sales,,False,False,False,False,e04f71a2-c16f-4b29-ab48-6e5869c3476e,,2,,1,True,25.0,2026-08-25T20:40:54Z,2026-04-30T14:00:00Z,25.0,,,0.0,[No Tax],0.0,- AV Equipment,1c4e294f-4fa3-419d-8858-ecc0467bd344,25.0,Olena+e2@nexudus.com,2026-08-25T20:41:10Z
