Id,AutoTransferToStorecove,AutoTransferToXeroOrQuickBooks,BillToAddress,BillToBankAccount,BillToCity,BillToCountryId,BillToCountryName,BillToCountryTwoDigitsCode,BillToFax,BillToName,BillToPhone,BillToPostCode,BillToState,BillToTaxIDNumber,BusinessId,BusinessName,ContractGuid,CoworkerBillingEmail,CoworkerCardNumber,CoworkerCompanyName,CoworkerDoNotProcessInvoicesAutomatically,CoworkerEnableGoCardlessPayments,CoworkerFullName,CoworkerGoCardlessContractNumber,CoworkerId,CoworkerNotifyOnFailedPayment,CoworkerNotifyOnNewInvoice,CoworkerNotifyOnNewPayment,CoworkerRegularPaymentContractNumber,CoworkerRegularPaymentProvider,CoworkerTeamNames,CreatedOn,CreditNote,CreditedAmount,CreditedInvoiceId,CurrencyCode,CurrencyId,CustomData,CustomFields,Description,DiscountAmount,DiscoveredInvoiceId,DoNotApplyCreditAutomatically,Draft,DueAmount,DueDate,DueDateFormated,GoCardlessReference,HasTemporaryInvoiceNumber,InvoiceFromDate,InvoiceLines,InvoiceNumber,InvoiceToDate,IsDue,IsNew,LocalizationDetails,MoloniInvoiceTransferred,MoloniPaymentTransferred,NexKioskTransactionId,OriginalInvoiceGuid,OriginalInvoiceId,Paid,PaidAmount,PaidOn,PaymentReference,PurchaseOrder,QuickbooksInvoiceTransfered,QuickbooksPaymentTransfered,ReceivedAmount,Refunded,RefundedAmount,RefundedOn,Sent,SentOn,StorecoveInvoiceStatus,StorecoveUniqueId,SystemId,TaxAmount,ToStringText,TotalAmount,TotalAmountFormated,UniqueId,UpdatedBy,UpdatedOn,Void,WaitingForInvoiceNumber,XeroInvoiceTransfered,XeroPaymentTransfered
1429950716,False,False,Not Available,,Not Available,1195,Spain,ES,,Victor Harrison,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),cd2bbb2c-3654-4737-b0b9-5c046bade0a2,,,,False,False,Victor Harrison,,1423806942,True,True,True,,1,Acme Corp,2026-08-25T19:54:42Z,False,0.0,,EUR,3003,,,Parking Space,0.0,1429950716,False,False,75.0,2026-08-28T19:54:42Z,8/28/2026 7:54 PM,,False,2024-10-09T22:00:00Z,,INV-0001,2024-11-09T23:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0001,,False,False,0.0,False,0.0,,True,2026-08-25T19:54:43Z,1,,,0.0,INV-0001,75.0,75.00,a89815e1-c984-41a0-a750-a7d2bad37193,Olena+e2@nexudus.com,2026-08-25T19:54:43Z,False,False,False,False
1429950717,False,False,Not Available,,Not Available,1195,Spain,ES,,Teresa Hopkins,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),11351685-db46-4bc5-b905-1303b6682acc,,,,False,False,Teresa Hopkins,,1423807130,True,True,True,,1,Acme Corp,2026-08-25T19:54:45Z,False,0.0,,EUR,3003,,,Mail Handling,0.0,1429950717,False,False,20.0,2026-08-28T19:54:45Z,8/28/2026 7:54 PM,,False,2024-12-30T23:00:00Z,,INV-0002,2025-03-30T22:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0002,,False,False,0.0,False,0.0,,True,2026-08-25T19:54:46Z,1,,,0.0,INV-0002,20.0,20.00,ab961316-58ef-4534-8562-5876a54d3e39,Olena+e2@nexudus.com,2026-08-25T19:54:46Z,False,False,False,False
1429950718,False,False,Not Available,,Not Available,1195,Spain,ES,,Tracy Harrison,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),60220ba8-8c23-4162-87fb-4501cabf33b0,,,,False,False,Tracy Harrison,,1423807135,True,True,True,,1,Acme Corp,2026-08-25T19:54:46Z,False,0.0,,EUR,3003,,,Storage Locker,0.0,1429950718,False,False,30.0,2026-08-28T19:54:46Z,8/28/2026 7:54 PM,,False,2024-09-11T22:00:00Z,,INV-0003,2024-12-11T23:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0003,,False,False,0.0,False,0.0,,True,2026-08-25T19:54:47Z,1,,,0.0,INV-0003,30.0,30.00,d91e7293-8c83-4131-8e37-aaf5117bdf7f,Olena+e2@nexudus.com,2026-08-25T19:54:47Z,False,False,False,False
1429950719,False,False,Not Available,,Not Available,1195,Spain,ES,,Stanley Griffiths,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),98b2ac8f-475a-4038-8609-c3387d034106,,,,False,False,Stanley Griffiths,,1423806940,True,True,True,,1,Acme Corp,2026-08-25T19:54:48Z,False,0.0,,EUR,3003,,,"Hot Desk Quarterly (Tracy Harrison), Mail Handling (Tracy Harrison), Dedicated Desk Monthly (Victor Harrison), Parking Space (Victor Harrison), Private Office Small (Ashley Smith), Mail Handling (Ashley Smith), Hot Desk Quarterly (Teresa Hopkins), Flex Weekly, Storage Locker, Hot Desk Monthly (Leanne Foster), Mail Handling (Leanne Foster), Flex Fortnightly (Robin Andrews), Flex Fortnightly (Ashley Smith), Parking Space (Ashley Smith), Investor Pitch Night: General Admission (Tracy Harrison) (Tracy Harrison), - Catering - Tea/Coffee, Wellness Wednesday: Meditation: General Admission (Teresa Hopkins) (Teresa Hopkins), Wellness Wednesday: Meditation: General Admission (Teresa Hopkins) (Teresa Hopkins), Workshop: Startup Finance: General Admission (Ashley Smith) (Ashley Smith), Weekly Networking Lunch: General Admission (Stanley Griffiths), New Member Orientation: General Admission (Ashley Smith) (Ashley Smith), Evening Pass [25/08/2026] (Leanne Foster), 10-Visit Pass [25/08/2026] (Tracy Harrison), Half Day Pass [25/08/2026] (Robin Andrews), Day Pass [25/08/2026], New Year Kickoff Breakfast: General Admission (Ashley Smith) (Ashley Smith), Freelancer Meetup: General Admission (Victor Harrison) (Victor Harrison), Book Club: General Admission (Tracy Harrison) (Tracy Harrison), Holiday Party: General Admission (Teresa Hopkins) (Teresa Hopkins)",0.0,1429950719,False,False,3352.05,2026-08-28T19:54:48Z,8/28/2026 7:54 PM,,False,2025-03-29T23:00:00Z,,INV-0004,2025-04-05T22:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0004,,False,False,0.0,False,0.0,,False,,1,,,0.0,INV-0004,3352.05,3352.05,b494cc8a-c12a-450e-9eb7-4c0bf9b07074,Olena+e2@nexudus.com,2026-08-25T19:54:48Z,False,False,False,False
1429950720,False,False,Not Available,,Not Available,1195,Spain,ES,,Diane Newman,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),d0e0f13b-7d3e-41fe-a05a-f7488fe8f088,,,,False,False,Diane Newman,,1423807128,True,True,True,,1,Delta Ventures,2026-08-25T19:54:50Z,False,0.0,,EUR,3003,,,"Dedicated Desk Monthly, Storage Locker, Wellness Wednesday: Meditation: General Admission (Diane Newman), Evening Pass [25/08/2026], Mail Handling",0.0,1429950720,False,False,410.0,2026-08-28T19:54:50Z,8/28/2026 7:54 PM,,False,2025-08-17T22:00:00Z,,INV-0005,2025-09-17T22:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0005,,False,False,0.0,False,0.0,,False,,1,,,0.0,INV-0005,410.0,410.00,ded04125-d259-4cb5-9ad2-264adb8cf5fb,Olena+e2@nexudus.com,2026-08-25T19:54:51Z,False,False,False,False
1429950721,False,False,Not Available,,Not Available,1195,Spain,ES,,Sian Cox,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),41e0155f-37b5-4878-8b18-8efdab992fb1,,,,False,False,Sian Cox,,1423807129,True,True,True,,1,CloudNine Labs,2026-08-25T19:54:52Z,False,0.0,,EUR,3003,,,"Hot Desk Quarterly, 10-Visit Pass [25/08/2026], Q3 Town Hall: General Admission (Sian Cox)",0.0,1429950721,False,False,559.14,2026-08-28T19:54:52Z,8/28/2026 7:54 PM,,False,2024-09-13T22:00:00Z,,INV-0006,2024-12-13T23:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0006,,False,False,0.0,False,0.0,,False,,1,,,0.0,INV-0006,559.14,559.14,82977db2-332e-489c-a1d2-521f889ac94b,Olena+e2@nexudus.com,2026-08-25T19:54:52Z,False,False,False,False
1429950722,False,False,Not Available,,Not Available,1195,Spain,ES,,Mary Higgins,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),c3e3e2eb-6035-4462-9876-89d5f059199d,,,,False,False,Mary Higgins,,1423807131,True,True,True,,1,CloudNine Labs,2026-08-25T19:54:54Z,False,0.0,,EUR,3003,,,"Private Office Annual, Parking Space, Half Day Pass [25/08/2026]",0.0,1429950722,False,False,12090.0,2026-08-28T19:54:54Z,8/28/2026 7:54 PM,,False,2025-06-14T22:00:00Z,,INV-0007,2026-06-14T22:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0007,,False,False,0.0,False,0.0,,False,,1,,,0.0,INV-0007,12090.0,12090.00,99c65d11-b6f3-49bb-b58e-58ac12e9e2da,Olena+e2@nexudus.com,2026-08-25T19:54:54Z,False,False,False,False
1429950723,False,False,Not Available,,Not Available,1195,Spain,ES,,Colin Lloyd,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),deb914d0-ec9e-45b0-8927-b1f8a20aa6bf,,,,False,False,Colin Lloyd,,1423807132,True,True,True,,1,Delta Ventures,2026-08-25T19:54:55Z,False,0.0,,EUR,3003,,,"Flex Fortnightly, Parking Space, 10-Visit Pass [25/08/2026], New Year Kickoff Breakfast: General Admission (Colin Lloyd)",0.0,1429950723,False,False,535.0,2026-08-28T19:54:55Z,8/28/2026 7:54 PM,,False,2025-06-15T22:00:00Z,,INV-0008,2025-06-29T22:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0008,,False,False,0.0,False,0.0,,False,,1,,,0.0,INV-0008,535.0,535.00,c4bc8a50-bae9-4891-be0e-137d4272662f,Olena+e2@nexudus.com,2026-08-25T19:54:55Z,False,False,False,False
1429950724,False,False,Not Available,,Not Available,1195,Spain,ES,,Gemma Elliott,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),bdcb9d2c-ab81-4e8e-9968-3a380ef40ce8,,,,False,False,Gemma Elliott,,1423807139,True,True,True,,1,Bright Studio,2026-08-25T19:54:59Z,False,0.0,,EUR,3003,,,Storage Locker,0.0,1429950724,False,False,30.0,2026-08-28T19:54:59Z,8/28/2026 7:54 PM,,False,2026-07-01T22:00:00Z,,INV-0009,2026-08-01T22:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0009,,False,False,0.0,False,0.0,,True,2026-08-25T19:54:59Z,1,,,0.0,INV-0009,30.0,30.00,1803e358-07a4-427e-8cdb-d552905452ca,Olena+e2@nexudus.com,2026-08-25T19:55:00Z,False,False,False,False
1429950725,False,False,Not Available,,Not Available,1195,Spain,ES,,Irene Wilson,,Not Available,Not Available,,1421022733,MAIN_E2 (PARENT Location),0d0475db-0013-48c9-8e32-1a039ff09048,,,,False,False,Irene Wilson,,1423807143,True,True,True,,1,Bright Studio,2026-08-25T19:55:04Z,False,0.0,,EUR,3003,,,Parking Space,0.0,1429950725,False,False,75.0,2026-08-28T19:55:04Z,8/28/2026 7:55 PM,,False,2025-06-22T22:00:00Z,,INV-0010,2025-07-22T22:00:00Z,False,False,,False,False,,,,False,0.0,,INV-0010,,False,False,0.0,False,0.0,,True,2026-08-25T19:55:04Z,1,,,0.0,INV-0010,75.0,75.00,b15e40bc-b2da-49aa-bc8f-e0dc9690762c,Olena+e2@nexudus.com,2026-08-25T19:55:04Z,False,False,False,False
