Id,ActivateNow,Activated,ApplyProRating,BookingUniqueId,BusinessId,ContractDepositUniqueId,ContractProductUniqueId,CoworkerBillingName,CoworkerCompanyName,CoworkerContractUniqueId,CoworkerCoworkerType,CoworkerDeliveryUniqueId,CoworkerEmail,CoworkerFullName,CoworkerId,CoworkerInvoiceId,CoworkerInvoiceNumber,CoworkerInvoicePaid,CoworkerProductIndex,CreatedOn,CreditAmount,CustomFields,DiscountAmount,DueDate,FromTariff,InvoiceOn,InvoiceThisCoworker,Invoiced,InvoicedOn,IsNew,LocalizationDetails,Notes,OrderNumber,Price,ProductApplyProRating,ProductCurrencyCode,ProductFinancialAccountId,ProductId,ProductName,ProductPrice,PurchaseOrder,Quantity,RecurringTotal,Refundable,RegularCharge,RepeatCycle,RepeatFrom,RepeatUnit,RepeatUntil,SaleDate,SystemId,TeamsAtTheTimeOfPurchase,ToStringText,TotalPrice,UniqueId,UnitPrice,UpdatedBy,UpdatedOn
1428645085,False,False,False,,1421022733,,,,,,Individual,,test-005@seeddata.local,Teresa Hopkins,1423747609,,,False,1,2026-08-24T16:42:24.2265818Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475410,Parking Space,75.0,,1,0.0,False,False,4,,,,,,Acme Corp,#1428645085,75.0,0eb8dd51-7045-47c4-ad88-0e6a1de64961,75.0,Olena+e2@nexudus.com,2026-08-24T16:42:24.3203415Z
1428645087,False,False,False,,1421022733,,,,,,Individual,,test-021@seeddata.local,Paula Harvey,1423750037,,,False,2,2026-08-24T16:42:25.1484615Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475410,Parking Space,75.0,,1,0.0,False,False,4,,,,,,Echo Digital,#1428645087,75.0,a1ba71d9-e5ce-42be-a63d-6456b83754f3,75.0,Olena+e2@nexudus.com,2026-08-24T16:42:25.226602Z
1428645088,False,False,False,,1421022733,,,,,,Individual,,test-010@seeddata.local,Victor Harrison,1423747911,,,False,3,2026-08-24T16:42:26.0248045Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475410,Parking Space,75.0,,1,0.0,False,False,4,,,,,,Acme Corp,#1428645088,75.0,9495457a-8937-4147-b04b-fd2a4682f04a,75.0,Olena+e2@nexudus.com,2026-08-24T16:42:26.08731Z
1428645089,False,False,False,,1421022733,,,,,,Individual,,test-041@seeddata.local,Jacqueline Wilson,1423749950,,,False,4,2026-08-24T16:42:26.8685705Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475409,Storage Locker,30.0,,1,0.0,False,False,4,,,,,,,#1428645089,30.0,23e524bb-be41-4623-8a74-4fb878f7edc3,30.0,Olena+e2@nexudus.com,2026-08-24T16:42:26.8685705Z
1428645090,False,False,False,,1421022733,,,,,,Individual,,test-020@seeddata.local,Gemma Elliott,1423749940,,,False,5,2026-08-24T16:42:27.6498714Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475410,Parking Space,75.0,,1,0.0,False,False,4,,,,,,Bright Studio,#1428645090,75.0,e393cf33-ee90-4b83-a96c-cb275bf5d0c6,75.0,Olena+e2@nexudus.com,2026-08-24T16:42:27.6967388Z
1428645091,False,False,False,,1421022733,,,,,,Individual,,test-018@seeddata.local,Janice Glover,1423749939,,,False,6,2026-08-24T16:42:28.4480113Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475409,Storage Locker,30.0,,1,0.0,False,False,4,,,,,,Echo Digital,#1428645091,30.0,446ded70-9840-418f-bc5d-3cf44704b2ec,30.0,Olena+e2@nexudus.com,2026-08-24T16:42:28.4792701Z
1428645092,False,False,False,,1421022733,,,,,,Individual,,test-026@seeddata.local,Jay Rees,1423750040,,,False,7,2026-08-24T16:42:29.1824095Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475409,Storage Locker,30.0,,1,0.0,False,False,4,,,,,,Echo Digital,#1428645092,30.0,4b2f73a1-0b91-4b24-ab08-49c6a521c93e,30.0,Olena+e2@nexudus.com,2026-08-24T16:42:29.2136435Z
1428645093,False,False,False,,1421022733,,,,,,Individual,,test-008@seeddata.local,Leanne Foster,1423747610,,,False,8,2026-08-24T16:42:29.9324224Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475411,Mail Handling,20.0,,1,0.0,False,False,4,,,,,,Acme Corp,#1428645093,20.0,b57a2a0f-0293-4906-abae-0c860296ec66,20.0,Olena+e2@nexudus.com,2026-08-24T16:42:29.9792955Z
1428645094,False,False,False,,1421022733,,,,,,Individual,,test-045@seeddata.local,Glen Hawkins,1423750051,,,False,9,2026-08-24T16:42:30.7151501Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475410,Parking Space,75.0,,1,0.0,False,False,4,,,,,,,#1428645094,75.0,3018b2e1-2d4e-4a2a-9875-67c4b01dd3d9,75.0,Olena+e2@nexudus.com,2026-08-24T16:42:30.7151501Z
1428645095,False,False,False,,1421022733,,,,,,Individual,,test-019@seeddata.local,Leigh Butler,1423750036,,,False,10,2026-08-24T16:42:31.4659176Z,0.0,,0.0,,False,,True,False,,False,,,,,False,EUR,1415062723,1415475409,Storage Locker,30.0,,1,0.0,False,False,4,,,,,,Delta Ventures,#1428645095,30.0,2a7a8260-9998-4690-a6e0-f2e6b64bc937,30.0,Olena+e2@nexudus.com,2026-08-24T16:42:31.51279Z
